task_name,gw,offset_hours,run_time_local
FPL Pre-Deadline GW17 - 24h,17,24,2025-12-19 15:30
FPL Pre-Deadline GW17 - 12h,17,12,2025-12-20 03:30
FPL Pre-Deadline GW17 - 6h,17,6,2025-12-20 09:30
FPL Pre-Deadline GW17 - 1h,17,1,2025-12-20 14:30
FPL Pre-Deadline GW18 - 48h,18,48,2025-12-25 15:30
FPL Pre-Deadline GW18 - 24h,18,24,2025-12-26 15:30
FPL Pre-Deadline GW18 - 12h,18,12,2025-12-27 03:30
FPL Pre-Deadline GW18 - 6h,18,6,2025-12-27 09:30
FPL Pre-Deadline GW18 - 1h,18,1,2025-12-27 14:30
FPL Pre-Deadline GW19 - 48h,19,48,2025-12-28 20:30
FPL Pre-Deadline GW19 - 24h,19,24,2025-12-29 20:30
FPL Pre-Deadline GW19 - 12h,19,12,2025-12-30 08:30
FPL Pre-Deadline GW19 - 6h,19,6,2025-12-30 14:30
FPL Pre-Deadline GW19 - 1h,19,1,2025-12-30 19:30
FPL Pre-Deadline GW20 - 48h,20,48,2026-01-01 15:30
FPL Pre-Deadline GW20 - 24h,20,24,2026-01-02 15:30
FPL Pre-Deadline GW20 - 12h,20,12,2026-01-03 03:30
FPL Pre-Deadline GW20 - 6h,20,6,2026-01-03 09:30
FPL Pre-Deadline GW20 - 1h,20,1,2026-01-03 14:30
FPL Pre-Deadline GW21 - 48h,21,48,2026-01-05 20:30
FPL Pre-Deadline GW21 - 24h,21,24,2026-01-06 20:30
FPL Pre-Deadline GW21 - 12h,21,12,2026-01-07 08:30
FPL Pre-Deadline GW21 - 6h,21,6,2026-01-07 14:30
FPL Pre-Deadline GW21 - 1h,21,1,2026-01-07 19:30
FPL Pre-Deadline GW22 - 48h,22,48,2026-01-15 15:30
FPL Pre-Deadline GW22 - 24h,22,24,2026-01-16 15:30
FPL Pre-Deadline GW22 - 12h,22,12,2026-01-17 03:30
FPL Pre-Deadline GW22 - 6h,22,6,2026-01-17 09:30
FPL Pre-Deadline GW22 - 1h,22,1,2026-01-17 14:30
FPL Pre-Deadline GW23 - 48h,23,48,2026-01-22 15:30
FPL Pre-Deadline GW23 - 24h,23,24,2026-01-23 15:30
FPL Pre-Deadline GW23 - 12h,23,12,2026-01-24 03:30
FPL Pre-Deadline GW23 - 6h,23,6,2026-01-24 09:30
FPL Pre-Deadline GW23 - 1h,23,1,2026-01-24 14:30
FPL Pre-Deadline GW24 - 48h,24,48,2026-01-29 15:30
FPL Pre-Deadline GW24 - 24h,24,24,2026-01-30 15:30
FPL Pre-Deadline GW24 - 12h,24,12,2026-01-31 03:30
FPL Pre-Deadline GW24 - 6h,24,6,2026-01-31 09:30
FPL Pre-Deadline GW24 - 1h,24,1,2026-01-31 14:30
FPL Pre-Deadline GW25 - 48h,25,48,2026-02-05 15:30
FPL Pre-Deadline GW25 - 24h,25,24,2026-02-06 15:30
FPL Pre-Deadline GW25 - 12h,25,12,2026-02-07 03:30
FPL Pre-Deadline GW25 - 6h,25,6,2026-02-07 09:30
FPL Pre-Deadline GW25 - 1h,25,1,2026-02-07 14:30
FPL Pre-Deadline GW26 - 48h,26,48,2026-02-09 20:30
FPL Pre-Deadline GW26 - 24h,26,24,2026-02-10 20:30
FPL Pre-Deadline GW26 - 12h,26,12,2026-02-11 08:30
FPL Pre-Deadline GW26 - 6h,26,6,2026-02-11 14:30
FPL Pre-Deadline GW26 - 1h,26,1,2026-02-11 19:30
FPL Pre-Deadline GW27 - 48h,27,48,2026-02-19 15:30
FPL Pre-Deadline GW27 - 24h,27,24,2026-02-20 15:30
FPL Pre-Deadline GW27 - 12h,27,12,2026-02-21 03:30
FPL Pre-Deadline GW27 - 6h,27,6,2026-02-21 09:30
FPL Pre-Deadline GW27 - 1h,27,1,2026-02-21 14:30
FPL Pre-Deadline GW28 - 48h,28,48,2026-02-26 15:30
FPL Pre-Deadline GW28 - 24h,28,24,2026-02-27 15:30
FPL Pre-Deadline GW28 - 12h,28,12,2026-02-28 03:30
FPL Pre-Deadline GW28 - 6h,28,6,2026-02-28 09:30
FPL Pre-Deadline GW28 - 1h,28,1,2026-02-28 14:30
FPL Pre-Deadline GW29 - 48h,29,48,2026-03-02 20:30
FPL Pre-Deadline GW29 - 24h,29,24,2026-03-03 20:30
FPL Pre-Deadline GW29 - 12h,29,12,2026-03-04 08:30
FPL Pre-Deadline GW29 - 6h,29,6,2026-03-04 14:30
FPL Pre-Deadline GW29 - 1h,29,1,2026-03-04 19:30
FPL Pre-Deadline GW30 - 48h,30,48,2026-03-12 15:30
FPL Pre-Deadline GW30 - 24h,30,24,2026-03-13 15:30
FPL Pre-Deadline GW30 - 12h,30,12,2026-03-14 03:30
FPL Pre-Deadline GW30 - 6h,30,6,2026-03-14 09:30
FPL Pre-Deadline GW30 - 1h,30,1,2026-03-14 14:30
FPL Pre-Deadline GW31 - 48h,31,48,2026-03-19 15:30
FPL Pre-Deadline GW31 - 24h,31,24,2026-03-20 15:30
FPL Pre-Deadline GW31 - 12h,31,12,2026-03-21 03:30
FPL Pre-Deadline GW31 - 6h,31,6,2026-03-21 09:30
FPL Pre-Deadline GW31 - 1h,31,1,2026-03-21 14:30
FPL Pre-Deadline GW32 - 48h,32,48,2026-04-09 14:30
FPL Pre-Deadline GW32 - 24h,32,24,2026-04-10 14:30
FPL Pre-Deadline GW32 - 12h,32,12,2026-04-11 02:30
FPL Pre-Deadline GW32 - 6h,32,6,2026-04-11 08:30
FPL Pre-Deadline GW32 - 1h,32,1,2026-04-11 13:30
FPL Pre-Deadline GW33 - 48h,33,48,2026-04-16 14:30
FPL Pre-Deadline GW33 - 24h,33,24,2026-04-17 14:30
FPL Pre-Deadline GW33 - 12h,33,12,2026-04-18 02:30
FPL Pre-Deadline GW33 - 6h,33,6,2026-04-18 08:30
FPL Pre-Deadline GW33 - 1h,33,1,2026-04-18 13:30
FPL Pre-Deadline GW34 - 48h,34,48,2026-04-23 14:30
FPL Pre-Deadline GW34 - 24h,34,24,2026-04-24 14:30
FPL Pre-Deadline GW34 - 12h,34,12,2026-04-25 02:30
FPL Pre-Deadline GW34 - 6h,34,6,2026-04-25 08:30
FPL Pre-Deadline GW34 - 1h,34,1,2026-04-25 13:30
FPL Pre-Deadline GW35 - 48h,35,48,2026-04-30 14:30
FPL Pre-Deadline GW35 - 24h,35,24,2026-05-01 14:30
FPL Pre-Deadline GW35 - 12h,35,12,2026-05-02 02:30
FPL Pre-Deadline GW35 - 6h,35,6,2026-05-02 08:30
FPL Pre-Deadline GW35 - 1h,35,1,2026-05-02 13:30
FPL Pre-Deadline GW36 - 48h,36,48,2026-05-07 14:30
FPL Pre-Deadline GW36 - 24h,36,24,2026-05-08 14:30
FPL Pre-Deadline GW36 - 12h,36,12,2026-05-09 02:30
FPL Pre-Deadline GW36 - 6h,36,6,2026-05-09 08:30
FPL Pre-Deadline GW36 - 1h,36,1,2026-05-09 13:30
FPL Pre-Deadline GW37 - 48h,37,48,2026-05-15 14:30
FPL Pre-Deadline GW37 - 24h,37,24,2026-05-16 14:30
FPL Pre-Deadline GW37 - 12h,37,12,2026-05-17 02:30
FPL Pre-Deadline GW37 - 6h,37,6,2026-05-17 08:30
FPL Pre-Deadline GW37 - 1h,37,1,2026-05-17 13:30
FPL Pre-Deadline GW38 - 48h,38,48,2026-05-22 15:30
FPL Pre-Deadline GW38 - 24h,38,24,2026-05-23 15:30
FPL Pre-Deadline GW38 - 12h,38,12,2026-05-24 03:30
FPL Pre-Deadline GW38 - 6h,38,6,2026-05-24 09:30
FPL Pre-Deadline GW38 - 1h,38,1,2026-05-24 14:30
