first_name,second_name,web_name,status,news,news_added,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,cost_change_start,cost_change_event,transfers_in_event,transfers_out_event,selected_by_percent,team,element_type,assists,birth_date,bonus,bps,can_select,can_transact,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event_fall,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,recoveries,red_cards,region,removed,saves,saves_per_90,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,tackles,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_out,value_form,value_season,yellow_cards
Benjamin,White,White,a,,,,,55,0,0,19888,7120,1.1,1,2,0,1997-10-08,0,23,True,True,1,1.29,6,198869,,,0,0,11.3,96,28,8,10.29,,,0,4.3,3.8,6,0.01,0.01,0.02,0.02,0.01,0.87,1.12,0.01,6.0,57,31,0,0.0,0,False,2.8,124,36,11,False,15.4,102,43,70,139,15,p198869,0,0,,0,,198869.jpg,6.0,57,31,4,0,241.0,False,0,0.0,180,70,False,,1,1.29,2,3,2021-07-30,1.0,199,58,6,19888,7120,1.1,1.1,0
Oleksandr,Zinchenko,Zinchenko,a,,,,,50,0,0,2885,6122,0.4,1,2,0,1996-12-15,0,0,True,True,0,0.0,0,206325,,,0,0,0.0,562,210,0,0.0,,,0,3.6,3.1,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,567,205,0,0.0,0,False,0.0,571,211,12,False,0.0,555,210,0,261,38,p206325,0,0,,0,,206325.jpg,0.0,567,205,0,0,225.0,False,0,0.0,283,105,False,,0,0.0,0,3,2022-07-22,0.0,532,198,0,2885,6122,0.0,0.0,0
Brayden,Clarke,Clarke,a,,,,,40,0,0,5815,7314,0.6,1,2,0,,0,0,True,True,0,0.0,0,563324,,,0,0,0.0,363,150,0,0.0,,,0,2.0,1.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,377,140,0,0.0,0,False,0.0,384,152,13,False,0.0,366,150,0,677,213,p563324,0,0,,0,,563324.jpg,0.0,377,140,0,0,,False,0,0.0,230,84,False,,0,0.0,0,3,,0.0,304,119,0,5815,7314,0.0,0.0,0
Maldini,Kacurri,Kacurri,a,,,,,40,0,0,1378,2468,0.2,1,2,0,,0,0,True,True,0,0.0,0,588793,,,0,0,0.0,372,156,0,0.0,,,0,2.0,1.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,386,146,0,0.0,0,False,0.0,393,158,14,False,0.0,375,156,0,687,220,p588793,0,0,,0,,588793.jpg,0.0,386,146,0,0,,False,0,0.0,389,145,False,,0,0.0,0,3,,0.0,313,125,0,1378,2468,0.0,0.0,0
Josh,Nichols,Nichols,a,,,,,40,0,0,1030,2084,0.2,1,2,0,2006-07-26,0,0,True,True,0,0.0,0,499167,,,0,0,0.0,340,132,0,0.0,,,0,2.0,1.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,354,122,0,0.0,0,False,0.0,361,134,15,False,0.0,343,132,0,652,193,p499167,0,0,,0,,499167.jpg,0.0,354,122,0,0,241.0,False,0,0.0,385,142,False,,0,0.0,0,3,2024-07-24,0.0,280,100,0,1030,2084,0.0,0.0,0
Bukayo,Saka,Saka,a,,,,,100,0,0,123328,96833,17.1,1,3,0,2001-09-05,0,7,True,True,1,1.0,0,223340,1.0,,0,0,16.4,58,43,5,5.0,4.0,,0,4.0,3.5,3,0.09,0.09,0.24,0.24,0.15,1.52,1.52,0.15,3.0,125,63,0,0.0,0,False,3.5,102,56,16,False,12.0,137,50,90,5,3,p223340,0,0,1.0,0,,223340.jpg,3.0,125,63,2,0,241.0,False,0,0.0,28,7,False,,1,1.0,3,3,2018-11-28,7.0,106,61,3,123328,96833,0.3,0.3,0
Martin,Ødegaard,Ødegaard,a,,,,,80,0,0,42021,31022,3.9,1,3,0,1998-12-17,0,16,True,True,1,1.0,6,184029,3.0,,0,0,20.3,47,34,14,14.0,2.0,,0,3.6,3.1,5,0.29,0.29,0.38,0.38,0.09,1.52,1.52,0.09,5.0,78,25,0,0.0,0,False,5.5,44,27,17,False,17.8,89,31,90,13,8,p184029,0,0,3.0,0,,184029.jpg,5.0,78,25,7,0,161.0,False,0,0.0,84,27,False,,1,1.0,1,3,2021-08-20,17.0,61,36,5,42021,31022,0.6,0.6,0
Noni,Madueke,Madueke,a,,,,,70,0,0,3161,17521,1.0,1,3,0,2002-03-10,0,2,True,True,0,0.0,0,248857,,,0,0,10.7,106,69,0,0.0,,,0,3.3,2.8,1,0.02,0.06,0.02,0.06,0.00,0.82,2.46,0.0,1.0,272,141,0,0.0,0,False,1.4,216,101,18,False,1.6,254,119,30,38,25,p248857,0,0,,0,,248857.jpg,1.0,272,141,0,0,241.0,False,0,0.0,186,60,False,,0,0.0,0,3,2025-07-18,2.0,191,108,1,3161,17521,0.1,0.1,0
Gabriel,Martinelli Silva,Martinelli,a,,,,,70,0,0,8371,16970,1.4,1,3,0,2001-06-18,0,8,True,True,0,0.0,0,444145,,,0,0,10.3,110,72,4,6.1,,,0,3.3,2.8,1,0.01,0.02,0.03,0.05,0.02,0.70,1.07,0.03,1.0,274,142,0,0.0,0,False,3.8,92,49,19,False,6.2,190,77,59,40,26,p444145,0,0,,0,,444145.jpg,1.0,274,142,3,0,30.0,False,0,0.0,157,51,False,,1,1.53,1,3,2019-07-15,21.0,43,23,1,8371,16970,0.1,0.1,0
Leandro,Trossard,Trossard,a,,2025-08-10T18:00:05.270079Z,100.0,75.0,70,0,0,765,6588,0.3,1,3,0,1994-12-04,0,0,True,True,0,0.0,0,116216,,,0,0,0.0,690,305,0,0.0,,,0,3.3,2.1,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,689,305,0,0.0,0,False,0.0,690,305,20,False,0.0,686,304,0,31,18,p116216,0,0,4.0,0,,116216.jpg,0.0,689,305,0,0,21.0,False,0,0.0,296,96,False,,0,0.0,0,3,2023-01-20,0.0,690,305,0,765,6588,0.0,0.0,0
Declan,Rice,Rice,a,,,,,65,0,0,78861,61118,8.3,1,3,1,1999-01-14,0,14,True,True,1,1.1,1,204480,2.0,,0,0,1.3,190,111,4,4.39,1.0,,0,3.2,2.7,6,0.01,0.01,0.14,0.15,0.13,1.04,1.14,0.14,6.0,65,16,0,0.0,0,False,1.2,231,110,21,False,2.6,237,109,82,51,34,p204480,0,0,,0,,204480.jpg,6.0,65,16,3,0,241.0,False,0,0.0,52,18,False,,1,1.1,0,3,2023-07-15,8.0,92,53,6,78861,61118,0.9,0.9,0
Mikel,Merino Zazón,Merino,a,,,,,60,0,0,4160,15438,0.6,1,3,0,1996-06-22,0,2,True,True,0,0.0,1,195384,,,0,0,0.0,673,294,1,12.86,,,0,3.1,2.6,1,0.00,0.0,0.00,0.0,0.00,0.49,6.3,0.0,1.0,261,135,0,0.0,0,False,0.1,289,140,22,False,1.2,257,122,7,90,62,p195384,0,0,,0,,195384.jpg,1.0,261,135,0,0,200.0,False,0,0.0,239,77,False,,0,0.0,0,3,2024-08-27,0.0,669,292,1,4160,15438,0.2,0.2,0
Fábio,Ferreira Vieira,Fábio Vieira,a,,,,,55,0,0,463,914,0.0,1,3,0,2000-05-30,0,0,True,True,0,0.0,0,438098,,,0,0,0.0,650,281,0,0.0,,,0,3.0,2.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,648,281,0,0.0,0,False,0.0,652,281,23,False,0.0,642,277,0,168,107,p438098,0,0,,0,,438098.jpg,0.0,648,281,0,0,173.0,False,0,0.0,585,232,False,,0,0.0,0,3,2022-06-21,0.0,639,274,0,463,914,0.0,0.0,0
Christian,Nørgaard,Nørgaard,d,Knock - 75% chance of playing,2025-08-18T08:00:05.297235Z,75.0,,55,0,0,1116,17497,0.5,1,3,0,1994-03-10,0,0,True,True,0,0.0,0,128295,,,0,0,0.0,633,272,0,0.0,,,0,2.3,2.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,634,272,0,0.0,0,False,0.0,636,271,24,False,0.0,626,267,0,127,82,p128295,0,0,,0,,128295.jpg,0.0,634,272,0,0,58.0,False,0,0.0,252,81,False,,0,0.0,0,3,2025-07-10,0.0,615,260,0,1116,17497,0.0,0.0,0
Ethan,Nwaneri,Nwaneri,a,,,,,55,0,0,1572,6451,0.3,1,3,0,2007-03-21,0,0,True,True,0,0.0,0,499175,4.0,,0,0,0.0,661,287,0,0.0,3.0,,0,3.0,2.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,660,287,0,0.0,0,False,0.0,663,287,25,False,0.0,652,283,0,190,119,p499175,0,0,,0,,499175.jpg,0.0,660,287,0,0,241.0,False,0,0.0,334,112,False,,0,0.0,0,3,2022-09-17,0.0,652,280,0,1572,6451,0.0,0.0,0
Martín,Zubimendi Ibáñez,Zubimendi,a,,,,,55,0,0,32189,29819,2.3,1,3,0,1999-02-02,0,15,True,True,1,1.0,4,481655,,,0,0,1.9,168,102,12,12.0,,,0,3.0,2.5,5,0.01,0.01,0.01,0.01,0.00,1.52,1.52,0.0,5.0,74,21,0,0.0,0,False,2.0,176,85,26,False,16.0,98,34,90,182,115,p481655,0,0,,0,,481655.jpg,5.0,74,21,5,0,200.0,False,0,0.0,118,36,False,,1,1.0,3,3,2025-07-06,2.0,179,101,5,32189,29819,0.9,0.9,0
Reiss,Nelson,Nelson,a,,,,,50,0,0,1395,2666,0.1,1,3,0,1999-12-10,0,0,True,True,0,0.0,0,200641,,,0,0,0.0,559,227,0,0.0,,,0,2.5,2.0,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,564,228,0,0.0,0,False,0.0,568,227,27,False,0.0,552,219,0,256,161,p200641,0,0,,0,,200641.jpg,0.0,564,228,0,0,241.0,False,0,0.0,446,147,False,,0,0.0,0,3,2017-07-12,0.0,529,207,0,1395,2666,0.0,0.0,0
Ismeal,Kabia,Kabia,a,,,,,45,0,0,3482,4881,0.3,1,3,0,2005-12-10,0,0,True,True,0,0.0,0,588796,,,0,0,0.0,519,203,0,0.0,,,0,2.0,1.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,529,205,0,0.0,0,False,0.0,530,201,28,False,0.0,513,192,0,545,296,p588796,0,0,,0,,588796.jpg,0.0,529,205,0,0,152.0,False,0,0.0,314,105,False,,0,0.0,0,3,2024-09-14,0.0,477,175,0,3482,4881,0.0,0.0,0
Albert,Sambi Lokonga,Sambi,a,,,,,45,0,0,1520,2232,0.1,1,3,0,1999-10-22,0,0,True,True,0,0.0,0,437742,,,0,0,0.0,430,148,0,0.0,,,0,2.0,1.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,443,151,0,0.0,0,False,0.0,446,147,29,False,0.0,429,138,0,440,238,p437742,0,0,,0,,437742.jpg,0.0,443,151,0,0,21.0,False,0,0.0,443,146,False,,0,0.0,0,3,2021-07-19,0.0,384,121,0,1520,2232,0.0,0.0,0
Kai,Havertz,Havertz,d,Knee injury - 25% chance of playing,2025-08-20T13:00:06.498911Z,25.0,,75,0,0,7895,35545,1.0,1,4,0,1999-06-11,0,4,True,True,0,0.0,1,219847,,,0,0,0.8,218,20,3,9.0,,,0,0.8,2.9,1,0.01,0.03,0.01,0.03,0.00,0.82,2.46,0.0,1.0,277,29,0,0.0,0,False,0.6,258,26,30,False,2.8,235,17,30,21,9,p219847,0,0,,0,,219847.jpg,1.0,277,29,2,0,80.0,False,0,0.0,185,31,False,,0,0.0,0,3,2023-06-28,2.0,192,30,1,7895,35545,0.1,0.1,0
Gabriel,Fernando de Jesus,G.Jesus,i,Knee injury - Unknown return date,2025-07-21T10:00:04.697564Z,0.0,0.0,65,0,0,225,971,0.0,1,4,0,1997-04-03,0,0,True,True,0,0.0,0,205651,,,0,0,0.0,683,71,0,0.0,,,0,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,681,71,0,0.0,0,False,0.0,683,71,31,False,0.0,677,68,0,52,18,p205651,0,0,,0,,205651.jpg,0.0,681,71,0,0,30.0,False,0,0.0,586,71,False,,0,0.0,0,3,2022-07-04,0.0,682,71,0,225,971,0.0,0.0,0
Cristhian,Mosquera,Mosquera,a,,,,,55,0,0,386,2054,0.1,1,2,0,2004-06-27,0,0,True,True,0,0.0,0,500040,,,0,0,0.0,662,229,0,0.0,,,0,4.3,3.8,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,661,227,0,0.0,0,False,0.0,664,230,662,False,0.0,653,230,0,191,28,p500040,0,0,,0,,500040.jpg,0.0,661,227,0,0,200.0,False,0,0.0,466,178,False,,0,0.0,0,3,2025-07-24,0.0,653,226,0,386,2054,0.0,0.0,0
Viktor,Gyökeres,Gyökeres,a,,,,,90,0,0,172085,242977,24.8,1,4,0,1998-06-04,0,0,True,True,0,0.0,1,224117,,,0,0,5.5,121,9,2,3.05,,,0,3.8,3.3,1,0.06,0.09,0.06,0.09,0.00,0.70,1.07,0.0,1.0,281,32,0,0.0,0,False,1.2,233,22,666,False,0.4,265,23,59,8,4,p224117,0,0,2.0,0,,224117.jpg,1.0,281,32,1,0,206.0,False,0,0.0,12,4,False,,1,1.53,0,3,2025-07-26,6.0,120,26,1,172085,242977,0.1,0.1,0
Emiliano,Martínez Romero,Martinez,a,,2025-07-21T10:00:04.758838Z,100.0,0.0,50,0,0,19721,6694,1.1,2,1,0,1992-09-02,0,0,True,True,0,0.0,0,98980,,,0,0,0.0,547,71,0,0.0,,,0,3.1,0.0,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,554,78,0,0.0,0,False,0.0,557,78,32,False,0.0,541,78,0,230,9,p98980,0,0,,0,,98980.jpg,0.0,554,78,0,0,10.0,False,0,0.0,174,22,False,,0,0.0,0,7,2020-09-16,0.0,511,70,0,19721,6694,0.0,0.0,0
Marco,Bizot,M.Bizot,a,,,,,45,0,0,46116,13209,0.9,2,1,0,1991-03-10,0,29,True,True,1,1.0,1,72147,,,0,0,0.0,388,50,0,0.0,,,0,2.3,1.8,7,0.00,0.0,0.00,0.0,0.00,1.43,1.43,0.0,7.0,35,6,0,0.0,0,False,2.0,172,13,33,False,19.6,77,13,90,370,19,p72147,0,0,,0,,72147.jpg,7.0,35,6,12,0,152.0,False,3,3.0,189,26,False,,1,1.0,0,7,2025-07-15,0.0,329,49,7,46116,13209,1.6,1.6,0
Joe,Gauci,Gauci,u,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,0.0,0.0,40,0,0,0,3708,0.2,2,1,0,2000-07-04,0,0,False,True,0,0.0,0,462492,,,0,0,0.0,321,29,0,0.0,,,0,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,335,46,0,0.0,0,False,0.0,343,47,34,False,0.0,325,47,0,629,63,p462492,0,0,,0,,462492.jpg,0.0,335,46,0,0,13.0,False,0,0.0,345,51,False,,0,0.0,0,7,2024-02-01,0.0,260,28,0,0,3708,0.0,0.0,0
Filip,Marschall,Marschall,u,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,0.0,0.0,40,0,0,0,313,0.0,2,1,0,2003-04-24,0,0,False,True,0,0.0,0,462381,,,0,0,0.0,320,28,0,0.0,,,0,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,334,45,0,0.0,0,False,0.0,342,46,35,False,0.0,324,46,0,628,62,p462381,0,0,,0,,462381.jpg,0.0,334,45,0,0,241.0,False,0,0.0,644,76,False,,0,0.0,0,7,2021-12-13,0.0,259,27,0,0,313,0.0,0.0,0
Matty,Cash,Cash,a,,,,,45,0,0,237663,35795,4.7,2,2,0,1997-08-07,0,25,True,True,1,1.0,9,199796,,,0,0,1.1,198,66,11,11.0,,,0,1.9,1.4,8,0.00,0.0,0.00,0.0,0.00,1.43,1.43,0.0,8.0,23,11,0,0.0,0,False,4.1,82,21,36,False,37.6,16,3,90,401,90,p199796,0,0,,0,,199796.jpg,8.0,23,11,2,0,172.0,False,0,0.0,73,28,False,,1,1.0,2,7,2020-09-03,2.0,151,42,8,237663,35795,1.8,1.8,0
Lucas,Digne,Digne,a,,,,,45,0,0,47731,12520,2.3,2,2,0,1993-07-20,0,22,True,True,1,1.0,5,101188,7.0,,0,0,5.8,117,34,7,7.0,2.0,,0,1.9,1.4,6,0.01,0.01,0.01,0.01,0.00,1.43,1.43,0.0,6.0,40,18,0,0.0,0,False,1.7,186,64,37,False,11.6,142,63,90,376,72,p101188,0,0,,0,,101188.jpg,6.0,40,18,3,0,73.0,False,0,0.0,116,43,False,,1,1.0,2,7,2022-01-13,0.0,334,141,6,47731,12520,1.3,1.3,0
Ezri,Konsa Ngoyo,Konsa,s,Suspended until 31 Aug,2025-08-16T19:30:05.327199Z,0.0,,45,0,0,18686,475160,16.6,2,2,0,1997-10-23,0,15,True,True,1,1.38,3,199798,,,0,0,1.1,199,67,3,4.15,,,0,0.0,1.4,3,0.01,0.01,0.01,0.01,0.00,1.11,1.54,0.0,3.0,93,41,0,0.0,0,False,0.3,275,94,38,False,1.8,251,95,65,402,91,p199798,0,0,,0,,199798.jpg,3.0,93,41,1,1,241.0,False,0,0.0,29,11,False,,1,1.38,0,7,2019-07-11,0.0,355,155,3,18686,475160,0.7,0.7,0
Ian,Maatsen,Maatsen,a,,,,,45,0,0,3354,13781,0.8,2,2,0,2002-03-10,0,0,True,True,0,0.0,0,441302,,,0,0,0.0,435,194,0,0.0,,,0,1.9,1.4,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,448,186,0,0.0,0,False,0.0,451,195,39,False,0.0,434,194,0,445,119,p441302,0,0,,0,,441302.jpg,0.0,448,186,0,0,152.0,False,0,0.0,204,76,False,,0,0.0,0,7,2024-06-28,0.0,389,174,0,3354,13781,0.0,0.0,0
Tyrone,Mings,Mings,a,,,,,45,0,0,39489,8466,1.3,2,2,0,1993-03-13,0,25,True,True,1,1.0,5,149484,,,0,0,3.7,137,40,5,5.0,,,0,1.9,1.4,6,0.00,0.0,0.00,0.0,0.00,1.43,1.43,0.0,6.0,41,19,0,0.0,0,False,1.7,187,65,40,False,13.0,127,57,90,389,82,p149484,0,0,,0,,149484.jpg,6.0,41,19,2,0,241.0,False,0,0.0,163,61,False,,1,1.0,0,7,2019-07-08,0.0,346,150,6,39489,8466,1.3,1.3,0
Pau,Torres,Pau,a,,,,,45,0,0,3333,6953,0.5,2,2,0,1997-01-16,0,0,True,True,0,0.0,0,244954,,,0,0,0.0,427,192,0,0.0,,,0,1.9,1.4,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,441,185,0,0.0,0,False,0.0,444,194,41,False,0.0,427,193,0,435,116,p244954,0,0,,0,,244954.jpg,0.0,441,185,0,0,200.0,False,0,0.0,248,91,False,,0,0.0,0,7,2023-07-12,0.0,381,173,0,3333,6953,0.0,0.0,0
Andrés,García,A.García,d,Knock - 25% chance of playing,2025-08-10T22:00:04.418109Z,25.0,25.0,40,0,0,437,4901,0.3,2,2,0,2003-02-07,0,0,True,True,0,0.0,0,606798,,,0,0,0.0,377,161,0,0.0,,,0,0.2,0.1,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,391,151,0,0.0,0,False,0.0,398,163,42,False,0.0,380,161,0,692,225,p606798,0,0,,0,,606798.jpg,0.0,391,151,0,0,200.0,False,0,0.0,333,121,False,,0,0.0,0,7,2025-01-21,0.0,318,130,0,437,4901,0.0,0.0,0
Álex,Moreno Lopera,Alex Moreno,a,,,,,40,0,0,29769,80225,9.2,2,2,0,1993-06-08,0,0,True,True,0,0.0,0,106468,,,0,0,0.0,280,100,0,0.0,,,0,1.0,0.5,0,0.00,0.0,0.00,0.0,0.00,0.00,0.0,0.0,0.0,294,90,0,0.0,0,False,0.0,302,103,43,False,0.0,284,101,0,583,152,p106468,0,0,,0,,106468.jpg,0.0,294,90,0,0,200.0,False,0,0.0,43,16,False,,0,0.0,0,7,2023-01-11,0.0,215,63,0,29769,80225,0.0,0.0,0
