id,element,player_id,code,team,team_code,team_name,team_short,element_type,position,first_name,second_name,web_name,status,news,news_added,now_cost,price_m,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,chance_of_playing_next_round,chance_of_playing_this_round,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,event_points,minutes,can_transact,can_select,dreamteam_count,ep_next,ep_this,form,in_dreamteam,photo,points_per_game,removed,special,squad_number,value_form,value_season,region,team_join_date,birth_date,has_temporary_code,opta_code,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
19,19,19,444145,1,3,Arsenal,ARS,3,MID,Gabriel,Martinelli Silva,Martinelli,a,,,70,7.0,0,0,0,0,1.4,,,8371,16970,8371,16970,1,1,59,True,True,0,3.3,2.8,1.0,False,444145.jpg,1.0,False,False,,0.1,0.1,30.0,2019-07-15,2001-06-18,False,p444145,0,0,0,0,0,0,0,0,0,0,0,8,6.2,10.3,21.0,3.8,0,3,1,4,1,0.02,0.01,0.03,0.70,190,77,110,72,43,23,92,49,,,,,,,0.03,0.0,0.02,0.05,1.07,0.0,40,26,274,142,274,142,157,51,1.53,0.0,6.1
20,20,20,116216,1,3,Arsenal,ARS,3,MID,Leandro,Trossard,Trossard,a,,2025-08-10T18:00:05.270079Z,70,7.0,0,0,0,0,0.3,100.0,75.0,765,6588,765,6588,0,0,0,True,True,0,3.3,2.1,0.0,False,116216.jpg,0.0,False,False,,0.0,0.0,21.0,2023-01-20,1994-12-04,False,p116216,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,686,304,690,305,690,305,690,305,,,,,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,31,18,689,305,689,305,296,96,0.0,0.0,0.0
21,21,21,204480,1,3,Arsenal,ARS,3,MID,Declan,Rice,Rice,a,,,65,6.5,0,0,0,0,8.3,,,78861,61118,78861,61118,6,6,82,True,True,0,3.2,2.7,6.0,False,204480.jpg,6.0,False,False,,0.9,0.9,241.0,2023-07-15,1999-01-14,False,p204480,0,1,1,0,0,0,0,0,0,0,0,14,2.6,1.3,8.0,1.2,1,3,0,4,1,0.13,0.01,0.14,1.04,237,109,190,111,92,53,231,110,2.0,,1.0,,,,0.14,0.0,0.01,0.15,1.14,0.0,51,34,65,16,65,16,52,18,1.1,1.1,4.39
22,22,22,195384,1,3,Arsenal,ARS,3,MID,Mikel,Merino Zazón,Merino,a,,,60,6.0,0,0,0,0,0.6,,,4160,15438,4160,15438,1,1,7,True,True,0,3.1,2.6,1.0,False,195384.jpg,1.0,False,False,,0.2,0.2,200.0,2024-08-27,1996-06-22,False,p195384,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.0,0.0,0.1,1,0,0,1,0,0.00,0.00,0.00,0.49,257,122,673,294,669,292,289,140,,,,,,,0.0,0.0,0.0,0.0,6.3,0.0,90,62,261,135,261,135,239,77,0.0,0.0,12.86
23,23,23,438098,1,3,Arsenal,ARS,3,MID,Fábio,Ferreira Vieira,Fábio Vieira,a,,,55,5.5,0,0,0,0,0.0,,,463,914,463,914,0,0,0,True,True,0,3.0,2.5,0.0,False,438098.jpg,0.0,False,False,,0.0,0.0,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,642,277,650,281,639,274,652,281,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,168,107,648,281,648,281,585,232,0.0,0.0,0.0
24,24,24,128295,1,3,Arsenal,ARS,3,MID,Christian,Nørgaard,Nørgaard,d,Knock - 75% chance of playing,2025-08-18T08:00:05.297235Z,55,5.5,0,0,0,0,0.5,75.0,,1116,17497,1116,17497,0,0,0,True,True,0,2.3,2.5,0.0,False,128295.jpg,0.0,False,False,,0.0,0.0,58.0,2025-07-10,1994-03-10,False,p128295,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,626,267,633,272,615,260,636,271,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,127,82,634,272,634,272,252,81,0.0,0.0,0.0
25,25,25,499175,1,3,Arsenal,ARS,3,MID,Ethan,Nwaneri,Nwaneri,a,,,55,5.5,0,0,0,0,0.3,,,1572,6451,1572,6451,0,0,0,True,True,0,3.0,2.5,0.0,False,499175.jpg,0.0,False,False,,0.0,0.0,241.0,2022-09-17,2007-03-21,False,p499175,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,652,283,661,287,652,280,663,287,4.0,,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,190,119,660,287,660,287,334,112,0.0,0.0,0.0
26,26,26,481655,1,3,Arsenal,ARS,3,MID,Martín,Zubimendi Ibáñez,Zubimendi,a,,,55,5.5,0,0,0,0,2.3,,,32189,29819,32189,29819,5,5,90,True,True,0,3.0,2.5,5.0,False,481655.jpg,5.0,False,False,,0.9,0.9,200.0,2025-07-06,1999-02-02,False,p481655,0,0,1,0,0,0,0,0,0,0,0,15,16.0,1.9,2.0,2.0,4,5,3,12,1,0.00,0.01,0.01,1.52,98,34,168,102,179,101,176,85,,,,,,,0.0,0.0,0.01,0.01,1.52,0.0,182,115,74,21,74,21,118,36,1.0,1.0,12.0
27,27,27,200641,1,3,Arsenal,ARS,3,MID,Reiss,Nelson,Nelson,a,,,50,5.0,0,0,0,0,0.1,,,1395,2666,1395,2666,0,0,0,True,True,0,2.5,2.0,0.0,False,200641.jpg,0.0,False,False,,0.0,0.0,241.0,2017-07-12,1999-12-10,False,p200641,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,552,219,559,227,529,207,568,227,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,256,161,564,228,564,228,446,147,0.0,0.0,0.0
28,28,28,588796,1,3,Arsenal,ARS,3,MID,Ismeal,Kabia,Kabia,a,,,45,4.5,0,0,0,0,0.3,,,3482,4881,3482,4881,0,0,0,True,True,0,2.0,1.5,0.0,False,588796.jpg,0.0,False,False,,0.0,0.0,152.0,2024-09-14,2005-12-10,False,p588796,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,513,192,519,203,477,175,530,201,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,545,296,529,205,529,205,314,105,0.0,0.0,0.0
29,29,29,437742,1,3,Arsenal,ARS,3,MID,Albert,Sambi Lokonga,Sambi,a,,,45,4.5,0,0,0,0,0.1,,,1520,2232,1520,2232,0,0,0,True,True,0,2.0,1.5,0.0,False,437742.jpg,0.0,False,False,,0.0,0.0,21.0,2021-07-19,1999-10-22,False,p437742,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,429,138,430,148,384,121,446,147,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,440,238,443,151,443,151,443,146,0.0,0.0,0.0
30,30,30,219847,1,3,Arsenal,ARS,4,FWD,Kai,Havertz,Havertz,d,Knee injury - 25% chance of playing,2025-08-20T13:00:06.498911Z,75,7.5,0,0,0,0,1.0,25.0,,7895,35545,7895,35545,1,1,30,True,True,0,0.8,2.9,1.0,False,219847.jpg,1.0,False,False,,0.1,0.1,80.0,2023-06-28,1999-06-11,False,p219847,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,1,2,0,3,0,0.00,0.01,0.01,0.82,235,17,218,20,192,30,258,26,,,,,,,0.0,0.0,0.03,0.03,2.46,0.0,21,9,277,29,277,29,185,31,0.0,0.0,9.0
31,31,31,205651,1,3,Arsenal,ARS,4,FWD,Gabriel,Fernando de Jesus,G.Jesus,i,Knee injury - Unknown return date,2025-07-21T10:00:04.697564Z,65,6.5,0,0,0,0,0.0,0.0,0.0,225,971,225,971,0,0,0,True,True,0,0.0,0.0,0.0,False,205651.jpg,0.0,False,False,,0.0,0.0,30.0,2022-07-04,1997-04-03,False,p205651,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,677,68,683,71,682,71,683,71,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,52,18,681,71,681,71,586,71,0.0,0.0,0.0
662,662,662,500040,1,3,Arsenal,ARS,2,DEF,Cristhian,Mosquera,Mosquera,a,,,55,5.5,0,0,0,0,0.1,,,386,2054,386,2054,0,0,0,True,True,0,4.3,3.8,0.0,False,500040.jpg,0.0,False,False,,0.0,0.0,200.0,2025-07-24,2004-06-27,False,p500040,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,653,230,662,229,653,226,664,230,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,191,28,661,227,661,227,466,178,0.0,0.0,0.0
666,666,666,224117,1,3,Arsenal,ARS,4,FWD,Viktor,Gyökeres,Gyökeres,a,,,90,9.0,0,0,0,0,24.8,,,172085,242977,172085,242977,1,1,59,True,True,0,3.8,3.3,1.0,False,224117.jpg,1.0,False,False,,0.1,0.1,206.0,2025-07-26,1998-06-04,False,p224117,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5.5,6.0,1.2,1,1,0,2,1,0.00,0.06,0.06,0.70,265,23,121,9,120,26,233,22,,,,,2.0,,0.0,0.0,0.09,0.09,1.07,0.0,8,4,281,32,281,32,12,4,1.53,0.0,3.05
32,32,32,98980,2,7,Aston Villa,AVL,1,GKP,Emiliano,Martínez Romero,Martinez,a,,2025-07-21T10:00:04.758838Z,50,5.0,0,0,0,0,1.1,100.0,0.0,19721,6694,19721,6694,0,0,0,True,True,0,3.1,0.0,0.0,False,98980.jpg,0.0,False,False,,0.0,0.0,10.0,2020-09-16,1992-09-02,False,p98980,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,541,78,547,71,511,70,557,78,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,230,9,554,78,554,78,174,22,0.0,0.0,0.0
33,33,33,72147,2,7,Aston Villa,AVL,1,GKP,Marco,Bizot,M.Bizot,a,,,45,4.5,0,0,0,0,0.9,,,46116,13209,46116,13209,7,7,90,True,True,0,2.3,1.8,7.0,False,72147.jpg,7.0,False,False,,1.6,1.6,152.0,2025-07-15,1991-03-10,False,p72147,0,0,1,0,0,0,0,0,0,3,0,29,19.6,0.0,0.0,2.0,1,12,0,0,1,0.00,0.00,0.00,1.43,77,13,388,50,329,49,172,13,,,,,,,0.0,3.0,0.0,0.0,1.43,0.0,370,19,35,6,35,6,189,26,1.0,1.0,0.0
34,34,34,462492,2,7,Aston Villa,AVL,1,GKP,Joe,Gauci,Gauci,u,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,4.0,0,0,0,0,0.2,0.0,0.0,0,3708,0,3708,0,0,0,True,False,0,0.0,0.0,0.0,False,462492.jpg,0.0,False,False,,0.0,0.0,13.0,2024-02-01,2000-07-04,False,p462492,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,325,47,321,29,260,28,343,47,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,629,63,335,46,335,46,345,51,0.0,0.0,0.0
35,35,35,462381,2,7,Aston Villa,AVL,1,GKP,Filip,Marschall,Marschall,u,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,4.0,0,0,0,0,0.0,0.0,0.0,0,313,0,313,0,0,0,True,False,0,0.0,0.0,0.0,False,462381.jpg,0.0,False,False,,0.0,0.0,241.0,2021-12-13,2003-04-24,False,p462381,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,324,46,320,28,259,27,342,46,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,628,62,334,45,334,45,644,76,0.0,0.0,0.0
36,36,36,199796,2,7,Aston Villa,AVL,2,DEF,Matty,Cash,Cash,a,,,45,4.5,0,0,0,0,4.7,,,237663,35795,237663,35795,8,8,90,True,True,0,1.9,1.4,8.0,False,199796.jpg,8.0,False,False,,1.8,1.8,172.0,2020-09-03,1997-08-07,False,p199796,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,9,2,2,11,1,0.00,0.00,0.00,1.43,16,3,198,66,151,42,82,21,,,,,,,0.0,0.0,0.0,0.0,1.43,0.0,401,90,23,11,23,11,73,28,1.0,1.0,11.0
37,37,37,101188,2,7,Aston Villa,AVL,2,DEF,Lucas,Digne,Digne,a,,,45,4.5,0,0,0,0,2.3,,,47731,12520,47731,12520,6,6,90,True,True,0,1.9,1.4,6.0,False,101188.jpg,6.0,False,False,,1.3,1.3,73.0,2022-01-13,1993-07-20,False,p101188,0,0,1,0,0,0,0,0,0,0,0,22,11.6,5.8,0.0,1.7,5,3,2,7,1,0.00,0.01,0.01,1.43,142,63,117,34,334,141,186,64,7.0,,2.0,,,,0.0,0.0,0.01,0.01,1.43,0.0,376,72,40,18,40,18,116,43,1.0,1.0,7.0
38,38,38,199798,2,7,Aston Villa,AVL,2,DEF,Ezri,Konsa Ngoyo,Konsa,s,Suspended until 31 Aug,2025-08-16T19:30:05.327199Z,45,4.5,0,0,0,0,16.6,0.0,,18686,475160,18686,475160,3,3,65,True,True,0,0.0,1.4,3.0,False,199798.jpg,3.0,False,False,,0.7,0.7,241.0,2019-07-11,1997-10-23,False,p199798,0,0,1,0,0,0,0,0,1,0,0,15,1.8,1.1,0.0,0.3,3,1,0,3,1,0.00,0.01,0.01,1.11,251,95,199,67,355,155,275,94,,,,,,,0.0,0.0,0.01,0.01,1.54,0.0,402,91,93,41,93,41,29,11,1.38,1.38,4.15
39,39,39,441302,2,7,Aston Villa,AVL,2,DEF,Ian,Maatsen,Maatsen,a,,,45,4.5,0,0,0,0,0.8,,,3354,13781,3354,13781,0,0,0,True,True,0,1.9,1.4,0.0,False,441302.jpg,0.0,False,False,,0.0,0.0,152.0,2024-06-28,2002-03-10,False,p441302,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,434,194,435,194,389,174,451,195,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,445,119,448,186,448,186,204,76,0.0,0.0,0.0
