element,id,web_name,name,first_name,second_name,position,team,team_name,team_short,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,now_cost,price_m,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_next_round,chance_of_playing_this_round,birth_date,can_select,can_transact,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event_fall,cost_change_start_fall,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,expected_goals_per_90,form,form_rank,form_rank_type,goals_conceded_per_90,has_temporary_code,ict_index_rank,ict_index_rank_type,in_dreamteam,influence_rank,influence_rank_type,news,news_added,now_cost_rank,now_cost_rank_type,opta_code,penalties_order,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,recoveries,region,removed,saves_per_90,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,tackles,team_code,team_join_date,threat_rank,threat_rank_type,transfers_in,transfers_out,value_form,value_season
11,11,White,Benjamin White,Benjamin,White,DEF,1,Arsenal,ARS,70,6,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,0.01,0.01,0.02,0.87,55,5.5,0,0,20397,7230,1.1,a,,,1997-10-08,True,True,1.29,6,198869,,,0,0,96,28,8,10.29,,,0,2,4.3,3.8,6,0.01,0.02,1.12,0.01,6.0,57,31,0.0,False,124,36,False,102,43,,,139,15,p198869,,,198869.jpg,6.0,57,31,4,241.0,False,0.0,180,70,False,,1,1.29,2,3,2021-07-30,199,58,20397,7230,1.1,1.1
12,12,Zinchenko,Oleksandr Zinchenko,Oleksandr,Zinchenko,DEF,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5.0,0,0,2912,6186,0.4,a,,,1996-12-15,True,True,0.0,0,206325,,,0,0,562,210,0,0.0,,,0,2,3.6,3.1,0,0.0,0.0,0.0,0.0,0.0,567,205,0.0,False,571,211,False,555,210,,,261,38,p206325,,,206325.jpg,0.0,567,205,0,225.0,False,0.0,282,105,False,,0,0.0,0,3,2022-07-22,532,198,2912,6186,0.0,0.0
13,13,Clarke,Brayden Clarke,Brayden,Clarke,DEF,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,5863,7414,0.6,a,,,,True,True,0.0,0,563324,,,0,0,363,150,0,0.0,,,0,2,2.0,1.5,0,0.0,0.0,0.0,0.0,0.0,377,140,0.0,False,384,152,False,366,150,,,677,213,p563324,,,563324.jpg,0.0,377,140,0,,False,0.0,230,84,False,,0,0.0,0,3,,304,119,5863,7414,0.0,0.0
14,14,Kacurri,Maldini Kacurri,Maldini,Kacurri,DEF,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,1396,2505,0.2,a,,,,True,True,0.0,0,588793,,,0,0,372,156,0,0.0,,,0,2,2.0,1.5,0,0.0,0.0,0.0,0.0,0.0,386,146,0.0,False,393,158,False,375,156,,,687,220,p588793,,,588793.jpg,0.0,386,146,0,,False,0.0,389,145,False,,0,0.0,0,3,,313,125,1396,2505,0.0,0.0
15,15,Nichols,Josh Nichols,Josh,Nichols,DEF,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,1039,2111,0.2,a,,,2006-07-26,True,True,0.0,0,499167,,,0,0,340,132,0,0.0,,,0,2,2.0,1.5,0,0.0,0.0,0.0,0.0,0.0,354,122,0.0,False,361,134,False,343,132,,,652,193,p499167,,,499167.jpg,0.0,354,122,0,241.0,False,0.0,385,142,False,,0,0.0,0,3,2024-07-24,280,100,1039,2111,0.0,0.0
16,16,Saka,Bukayo Saka,Bukayo,Saka,MID,1,Arsenal,ARS,90,3,0,0,1,0,0,0,0,0,0,0,0,7,12.0,16.4,7.0,3.5,0.15,0.09,0.24,1.52,100,10.0,0,0,126626,98281,17.1,a,,,2001-09-05,True,True,1.0,0,223340,1.0,,0,0,58,43,5,5.0,4.0,,0,3,4.0,3.5,3,0.09,0.24,1.52,0.15,3.0,125,63,0.0,False,102,56,False,137,50,,,5,3,p223340,1.0,,223340.jpg,3.0,125,63,2,241.0,False,0.0,28,7,False,,1,1.0,3,3,2018-11-28,106,61,126626,98281,0.3,0.3
17,17,Ødegaard,Martin Ødegaard,Martin,Ødegaard,MID,1,Arsenal,ARS,90,5,0,0,1,0,0,0,0,0,0,0,0,16,17.8,20.3,17.0,5.5,0.09,0.29,0.38,1.52,80,8.0,0,0,42845,31453,3.9,a,,,1998-12-17,True,True,1.0,6,184029,3.0,,0,0,47,34,14,14.0,2.0,,0,3,3.6,3.1,5,0.29,0.38,1.52,0.09,5.0,78,25,0.0,False,44,27,False,89,31,,,13,8,p184029,3.0,,184029.jpg,5.0,78,25,7,161.0,False,0.0,84,27,False,,1,1.0,1,3,2021-08-20,61,36,42845,31453,0.6,0.6
18,18,Madueke,Noni Madueke,Noni,Madueke,MID,1,Arsenal,ARS,30,1,0,0,0,0,0,0,0,0,0,0,0,2,1.6,10.7,2.0,1.4,0.0,0.02,0.02,0.82,70,7.0,0,0,3188,17780,1.0,a,,,2002-03-10,True,True,0.0,0,248857,,,0,0,106,69,0,0.0,,,0,3,3.3,2.8,1,0.06,0.06,2.46,0.0,1.0,272,141,0.0,False,216,101,False,254,119,,,38,25,p248857,,,248857.jpg,1.0,272,141,0,241.0,False,0.0,187,60,False,,0,0.0,0,3,2025-07-18,191,108,3188,17780,0.1,0.1
19,19,Martinelli,Gabriel Martinelli Silva,Gabriel,Martinelli Silva,MID,1,Arsenal,ARS,59,1,0,0,0,0,0,0,0,0,0,0,0,8,6.2,10.3,21.0,3.8,0.02,0.01,0.03,0.7,70,7.0,0,0,8516,17247,1.4,a,,,2001-06-18,True,True,0.0,0,444145,,,0,0,110,72,4,6.1,,,0,3,3.3,2.8,1,0.02,0.05,1.07,0.03,1.0,274,142,0.0,False,92,49,False,190,77,,,40,26,p444145,,,444145.jpg,1.0,274,142,3,30.0,False,0.0,157,51,False,,1,1.53,1,3,2019-07-15,43,23,8516,17247,0.1,0.1
20,20,Trossard,Leandro Trossard,Leandro,Trossard,MID,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,7.0,0,0,773,6659,0.3,a,100.0,75.0,1994-12-04,True,True,0.0,0,116216,,,0,0,690,305,0,0.0,,,0,3,3.3,2.1,0,0.0,0.0,0.0,0.0,0.0,689,305,0.0,False,690,305,False,686,304,,2025-08-10T18:00:05.270079Z,31,18,p116216,4.0,,116216.jpg,0.0,689,305,0,21.0,False,0.0,296,96,False,,0,0.0,0,3,2023-01-20,690,305,773,6659,0.0,0.0
21,21,Rice,Declan Rice,Declan,Rice,MID,1,Arsenal,ARS,82,6,0,1,1,0,0,0,0,0,0,0,0,14,2.6,1.3,8.0,1.2,0.13,0.01,0.14,1.04,65,6.5,0,0,80257,61953,8.3,a,,,1999-01-14,True,True,1.1,1,204480,2.0,,0,0,190,111,4,4.39,1.0,,0,3,3.2,2.7,6,0.01,0.15,1.14,0.14,6.0,65,16,0.0,False,231,110,False,237,109,,,51,34,p204480,,,204480.jpg,6.0,65,16,3,241.0,False,0.0,53,18,False,,1,1.1,0,3,2023-07-15,92,53,80257,61953,0.9,0.9
22,22,Merino,Mikel Merino Zazón,Mikel,Merino Zazón,MID,1,Arsenal,ARS,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.0,0.0,0.1,0.0,0.0,0.0,0.49,60,6.0,0,0,4201,15641,0.6,a,,,1996-06-22,True,True,0.0,1,195384,,,0,0,673,294,1,12.86,,,0,3,3.1,2.6,1,0.0,0.0,6.3,0.0,1.0,261,135,0.0,False,289,140,False,257,122,,,90,62,p195384,,,195384.jpg,1.0,261,135,0,200.0,False,0.0,238,77,False,,0,0.0,0,3,2024-08-27,669,292,4201,15641,0.2,0.2
23,23,Fábio Vieira,Fábio Ferreira Vieira,Fábio,Ferreira Vieira,MID,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5.5,0,0,466,928,0.0,a,,,2000-05-30,True,True,0.0,0,438098,,,0,0,650,281,0,0.0,,,0,3,3.0,2.5,0,0.0,0.0,0.0,0.0,0.0,648,281,0.0,False,652,281,False,642,277,,,168,107,p438098,,,438098.jpg,0.0,648,281,0,173.0,False,0.0,585,232,False,,0,0.0,0,3,2022-06-21,639,274,466,928,0.0,0.0
24,24,Nørgaard,Christian Nørgaard,Christian,Nørgaard,MID,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5.5,0,0,1117,17774,0.5,d,75.0,,1994-03-10,True,True,0.0,0,128295,,,0,0,633,272,0,0.0,,,0,3,2.3,2.5,0,0.0,0.0,0.0,0.0,0.0,634,272,0.0,False,636,271,False,626,267,Knock - 75% chance of playing,2025-08-18T08:00:05.297235Z,127,82,p128295,,,128295.jpg,0.0,634,272,0,58.0,False,0.0,253,81,False,,0,0.0,0,3,2025-07-10,615,260,1117,17774,0.0,0.0
25,25,Nwaneri,Ethan Nwaneri,Ethan,Nwaneri,MID,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5.5,0,0,1588,6518,0.3,a,,,2007-03-21,True,True,0.0,0,499175,4.0,,0,0,661,287,0,0.0,3.0,,0,3,3.0,2.5,0,0.0,0.0,0.0,0.0,0.0,660,287,0.0,False,663,287,False,652,283,,,190,119,p499175,,,499175.jpg,0.0,660,287,0,241.0,False,0.0,335,113,False,,0,0.0,0,3,2022-09-17,652,280,1588,6518,0.0,0.0
26,26,Zubimendi,Martín Zubimendi Ibáñez,Martín,Zubimendi Ibáñez,MID,1,Arsenal,ARS,90,5,0,0,1,0,0,0,0,0,0,0,0,15,16.0,1.9,2.0,2.0,0.0,0.01,0.01,1.52,55,5.5,0,0,32704,30234,2.3,a,,,1999-02-02,True,True,1.0,4,481655,,,0,0,168,102,12,12.0,,,0,3,3.0,2.5,5,0.01,0.01,1.52,0.0,5.0,74,21,0.0,False,176,85,False,98,34,,,182,115,p481655,,,481655.jpg,5.0,74,21,5,200.0,False,0.0,118,36,False,,1,1.0,3,3,2025-07-06,179,101,32704,30234,0.9,0.9
27,27,Nelson,Reiss Nelson,Reiss,Nelson,MID,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5.0,0,0,1406,2692,0.1,a,,,1999-12-10,True,True,0.0,0,200641,,,0,0,559,227,0,0.0,,,0,3,2.5,2.0,0,0.0,0.0,0.0,0.0,0.0,564,228,0.0,False,568,227,False,552,219,,,256,161,p200641,,,200641.jpg,0.0,564,228,0,241.0,False,0.0,446,147,False,,0,0.0,0,3,2017-07-12,529,207,1406,2692,0.0,0.0
28,28,Kabia,Ismeal Kabia,Ismeal,Kabia,MID,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,3508,4939,0.3,a,,,2005-12-10,True,True,0.0,0,588796,,,0,0,519,203,0,0.0,,,0,3,2.0,1.5,0,0.0,0.0,0.0,0.0,0.0,529,205,0.0,False,530,201,False,513,192,,,545,296,p588796,,,588796.jpg,0.0,529,205,0,152.0,False,0.0,315,105,False,,0,0.0,0,3,2024-09-14,477,175,3508,4939,0.0,0.0
29,29,Sambi,Albert Sambi Lokonga,Albert,Sambi Lokonga,MID,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,4.5,0,0,1530,2257,0.1,a,,,1999-10-22,True,True,0.0,0,437742,,,0,0,430,148,0,0.0,,,0,3,2.0,1.5,0,0.0,0.0,0.0,0.0,0.0,443,151,0.0,False,446,147,False,429,138,,,440,238,p437742,,,437742.jpg,0.0,443,151,0,21.0,False,0.0,443,146,False,,0,0.0,0,3,2021-07-19,384,121,1530,2257,0.0,0.0
30,30,Havertz,Kai Havertz,Kai,Havertz,FWD,1,Arsenal,ARS,30,1,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,0.0,0.01,0.01,0.82,75,7.5,0,0,7899,36303,1.0,d,25.0,,1999-06-11,True,True,0.0,1,219847,,,0,0,218,20,3,9.0,,,0,4,0.8,2.9,1,0.03,0.03,2.46,0.0,1.0,277,29,0.0,False,258,26,False,235,17,Knee injury - 25% chance of playing,2025-08-20T13:00:06.498911Z,21,9,p219847,,,219847.jpg,1.0,277,29,2,80.0,False,0.0,185,31,False,,0,0.0,0,3,2023-06-28,192,30,7899,36303,0.1,0.1
31,31,G.Jesus,Gabriel Fernando de Jesus,Gabriel,Fernando de Jesus,FWD,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,6.5,0,0,225,977,0.0,i,0.0,0.0,1997-04-03,True,True,0.0,0,205651,,,0,0,683,71,0,0.0,,,0,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,681,71,0.0,False,683,71,False,677,68,Knee injury - Unknown return date,2025-07-21T10:00:04.697564Z,52,18,p205651,,,205651.jpg,0.0,681,71,0,30.0,False,0.0,586,71,False,,0,0.0,0,3,2022-07-04,682,71,225,977,0.0,0.0
662,662,Mosquera,Cristhian Mosquera,Cristhian,Mosquera,DEF,1,Arsenal,ARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,5.5,0,0,390,2086,0.1,a,,,2004-06-27,True,True,0.0,0,500040,,,0,0,662,229,0,0.0,,,0,2,4.3,3.8,0,0.0,0.0,0.0,0.0,0.0,661,227,0.0,False,664,230,False,653,230,,,191,28,p500040,,,500040.jpg,0.0,661,227,0,200.0,False,0.0,466,178,False,,0,0.0,0,3,2025-07-24,653,226,390,2086,0.0,0.0
666,666,Gyökeres,Viktor Gyökeres,Viktor,Gyökeres,FWD,1,Arsenal,ARS,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,5.5,6.0,1.2,0.0,0.06,0.06,0.7,90,9.0,0,0,175785,245640,24.8,a,,,1998-06-04,True,True,0.0,1,224117,,,0,0,121,9,2,3.05,,,0,4,3.8,3.3,1,0.09,0.09,1.07,0.0,1.0,281,32,0.0,False,233,22,False,265,23,,,8,4,p224117,2.0,,224117.jpg,1.0,281,32,1,206.0,False,0.0,12,4,False,,1,1.53,0,3,2025-07-26,120,26,175785,245640,0.1,0.1
32,32,Martinez,Emiliano Martínez Romero,Emiliano,Martínez Romero,GKP,2,Aston Villa,AVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,5.0,0,0,20047,6772,1.1,a,100.0,0.0,1992-09-02,True,True,0.0,0,98980,,,0,0,547,71,0,0.0,,,0,1,3.1,0.0,0,0.0,0.0,0.0,0.0,0.0,554,78,0.0,False,557,78,False,541,78,,2025-07-21T10:00:04.758838Z,230,9,p98980,,,98980.jpg,0.0,554,78,0,10.0,False,0.0,174,22,False,,0,0.0,0,7,2020-09-16,511,70,20047,6772,0.0,0.0
33,33,M.Bizot,Marco Bizot,Marco,Bizot,GKP,2,Aston Villa,AVL,90,7,0,0,1,0,0,0,0,0,0,3,0,29,19.6,0.0,0.0,2.0,0.0,0.0,0.0,1.43,45,4.5,0,0,46785,13460,0.9,a,,,1991-03-10,True,True,1.0,1,72147,,,0,0,388,50,0,0.0,,,0,1,2.3,1.8,7,0.0,0.0,1.43,0.0,7.0,35,6,0.0,False,172,13,False,77,13,,,370,19,p72147,,,72147.jpg,7.0,35,6,12,152.0,False,3.0,189,26,False,,1,1.0,0,7,2025-07-15,329,49,46785,13460,1.6,1.6
34,34,Gauci,Joe Gauci,Joe,Gauci,GKP,2,Aston Villa,AVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,0,3741,0.2,u,0.0,0.0,2000-07-04,False,True,0.0,0,462492,,,0,0,321,29,0,0.0,,,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,335,46,0.0,False,343,47,False,325,47,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,629,63,p462492,,,462492.jpg,0.0,335,46,0,13.0,False,0.0,345,51,False,,0,0.0,0,7,2024-02-01,260,28,0,3741,0.0,0.0
35,35,Marschall,Filip Marschall,Filip,Marschall,GKP,2,Aston Villa,AVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,4.0,0,0,0,315,0.0,u,0.0,0.0,2003-04-24,False,True,0.0,0,462381,,,0,0,320,28,0,0.0,,,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,334,45,0.0,False,342,46,False,324,46,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,628,62,p462381,,,462381.jpg,0.0,334,45,0,241.0,False,0.0,644,76,False,,0,0.0,0,7,2021-12-13,259,27,0,315,0.0,0.0
36,36,Cash,Matty Cash,Matty,Cash,DEF,2,Aston Villa,AVL,90,8,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,0.0,0.0,0.0,1.43,45,4.5,0,0,242137,36463,4.7,a,,,1997-08-07,True,True,1.0,9,199796,,,0,0,198,66,11,11.0,,,0,2,1.9,1.4,8,0.0,0.0,1.43,0.0,8.0,23,11,0.0,False,82,21,False,16,3,,,401,90,p199796,,,199796.jpg,8.0,23,11,2,172.0,False,0.0,73,28,False,,1,1.0,2,7,2020-09-03,151,42,242137,36463,1.8,1.8
37,37,Digne,Lucas Digne,Lucas,Digne,DEF,2,Aston Villa,AVL,90,6,0,0,1,0,0,0,0,0,0,0,0,22,11.6,5.8,0.0,1.7,0.0,0.01,0.01,1.43,45,4.5,0,0,48687,12777,2.3,a,,,1993-07-20,True,True,1.0,5,101188,7.0,,0,0,117,34,7,7.0,2.0,,0,2,1.9,1.4,6,0.01,0.01,1.43,0.0,6.0,40,18,0.0,False,186,64,False,142,63,,,376,72,p101188,,,101188.jpg,6.0,40,18,3,73.0,False,0.0,116,43,False,,1,1.0,2,7,2022-01-13,334,141,48687,12777,1.3,1.3
38,38,Konsa,Ezri Konsa Ngoyo,Ezri,Konsa Ngoyo,DEF,2,Aston Villa,AVL,65,3,0,0,1,0,0,0,0,0,1,0,0,15,1.8,1.1,0.0,0.3,0.0,0.01,0.01,1.11,45,4.5,0,0,18766,482067,16.5,s,0.0,,1997-10-23,True,True,1.38,3,199798,,,0,0,199,67,3,4.15,,,0,2,0.0,1.4,3,0.01,0.01,1.54,0.0,3.0,93,41,0.0,False,275,94,False,251,95,Suspended until 31 Aug,2025-08-16T19:30:05.327199Z,402,91,p199798,,,199798.jpg,3.0,93,41,1,241.0,False,0.0,29,11,False,,1,1.38,0,7,2019-07-11,355,155,18766,482067,0.7,0.7
