id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,forecast,risk,eta_window
96,Winterburn,4,3,45,0.1,0,705,stable,0.0,estimation
97,Evanilson,4,4,70,2.5,0,41466,stable,0.0,estimation
98,Enes Ünal,4,4,55,0.0,0,-171,stable,0.0,estimation
99,Adu-Adjei,4,4,45,0.3,0,-1104,stable,0.0,estimation
100,Kroupi.Jr,4,4,45,1.3,0,25302,stable,0.0,estimation
391,Gannon-Doak,4,3,50,0.1,0,928,stable,0.0,estimation
685,Diakité,4,2,45,0.2,0,4453,stable,0.0,estimation
687,Rees-Dottin,4,3,45,0.1,0,2903,stable,0.0,estimation
697,Adli,4,3,55,0.0,0,298,stable,0.0,estimation
83,O.Dango,5,3,60,0.1,0,-1784,stable,0.0,estimation
101,Kelleher,5,1,45,10.3,0,-47775,stable,0.0,estimation
102,Balcombe,5,1,40,0.3,0,198,stable,0.0,estimation
103,Cox,5,1,40,0.2,0,-179,stable,0.0,estimation
104,Eyestone,5,1,40,0.1,0,-230,stable,0.0,estimation
105,Valdimarsson,5,1,40,1.0,0,-3107,stable,0.0,estimation
106,Collins,5,2,50,1.6,0,-14019,stable,0.0,estimation
107,Lewis-Potter,5,2,50,0.4,0,-1384,stable,0.0,estimation
108,Ajer,5,2,45,0.2,0,-1340,stable,0.0,estimation
109,Henry,5,2,45,0.2,0,-249,stable,0.0,estimation
110,Kayode,5,2,45,0.2,0,-541,stable,0.0,estimation
111,Pinnock,5,2,45,0.2,0,-3594,stable,0.0,estimation
112,Roerslev,5,2,45,0.0,0,-434,stable,0.0,estimation
113,Van den Berg,5,2,45,0.4,0,1371,stable,0.0,estimation
114,Arthur,5,2,40,0.3,0,-1079,stable,0.0,estimation
115,Fredrick,5,2,40,0.2,0,-901,stable,0.0,estimation
116,Hickey,5,2,40,0.5,0,-1948,stable,0.0,estimation
117,Ji-soo,5,2,40,0.2,0,-1048,stable,0.0,estimation
118,Meghoma,5,2,40,0.1,0,-2088,stable,0.0,estimation
120,Schade,5,3,70,0.3,0,-3157,stable,0.0,estimation
121,Damsgaard,5,3,59,0.9,0,-21148,-0.1,1.0,estimation
122,Milambo,5,3,55,0.1,0,-622,stable,0.0,estimation
123,Carvalho,5,3,50,0.3,0,-1385,stable,0.0,estimation
124,Henderson,5,3,50,0.3,0,-2715,stable,0.0,estimation
125,Janelt,5,3,50,0.0,0,-522,stable,0.0,estimation
126,Jensen,5,3,50,0.1,0,-546,stable,0.0,estimation
127,Nunes,5,3,50,0.0,0,-299,stable,0.0,estimation
128,Onyeka,5,3,50,0.1,0,765,stable,0.0,estimation
129,Yarmoliuk,5,3,50,0.0,0,-316,stable,0.0,estimation
130,Donovan,5,3,45,0.1,0,-449,stable,0.0,estimation
131,Konak,5,3,45,0.2,0,-1499,stable,0.0,estimation
132,Maghoma,5,3,45,0.0,0,-674,stable,0.0,estimation
133,Peart-Harris,5,3,45,0.0,0,-200,stable,0.0,estimation
134,Trevitt,5,3,45,0.0,0,-298,stable,0.0,estimation
135,Wissa,5,4,75,1.7,0,-89195,-0.1,1.0,estimation
136,Thiago,5,4,60,1.1,0,14506,stable,0.0,estimation
137,Morgan,5,4,45,0.5,0,-1898,stable,0.0,estimation
138,Steele,6,1,45,0.5,0,-4348,stable,0.0,estimation
139,Verbruggen,6,1,45,7.4,0,-16745,stable,0.0,estimation
140,McGill,6,1,40,0.4,0,-154,stable,0.0,estimation
141,Rushworth,6,1,40,0.0,0,-69,stable,0.0,estimation
142,Scherpen,6,1,40,0.0,0,-59,stable,0.0,estimation
143,Boscagli,6,2,45,0.1,0,-1300,stable,0.0,estimation
144,Coppola,6,2,45,0.1,0,-890,stable,0.0,estimation
145,De Cuyper,6,2,45,6.0,0,-10813,stable,0.0,estimation
146,Dunk,6,2,45,1.3,0,3383,stable,0.0,estimation
147,Estupiñan,6,2,45,0.0,0,-968,stable,0.0,estimation
148,F.Kadıoğlu,6,2,45,0.2,0,-2329,stable,0.0,estimation
149,Igor,6,2,45,0.1,0,-227,stable,0.0,estimation
150,Lamptey,6,2,45,0.4,0,-4214,stable,0.0,estimation
151,Van Hecke,6,2,45,1.2,0,-3017,stable,0.0,estimation
152,Veltman,6,2,45,0.2,0,-3414,stable,0.0,estimation
153,Webster,6,2,45,0.0,0,-333,stable,0.0,estimation
154,Cashin,6,2,40,0.0,0,-262,stable,0.0,estimation
155,Slater,6,2,40,0.2,0,-997,stable,0.0,estimation
156,Tasker,6,2,40,0.2,0,-923,stable,0.0,estimation
157,Mitoma,6,3,65,6.3,0,-82656,stable,0.0,estimation
158,Georginio,6,3,60,1.4,0,-3000,stable,0.0,estimation
159,March,6,3,59,0.0,0,-907,stable,0.0,estimation
160,Minteh,6,3,60,1.0,0,-17065,-0.1,1.0,estimation
161,Enciso,6,3,55,0.0,0,-1316,stable,0.0,estimation
162,Gruda,6,3,55,0.0,0,-628,stable,0.0,estimation
163,Hinshelwood,6,3,54,0.1,0,-2310,stable,0.0,estimation
164,O'Riley,6,3,55,1.7,0,82013,stable,0.0,estimation
165,Sima,6,3,55,0.0,0,-347,stable,0.0,estimation
166,Ayari,6,3,50,0.2,0,-1127,stable,0.0,estimation
167,Baleba,6,3,50,4.5,0,-22227,-0.1,1.0,estimation
168,Buonanotte,6,3,50,0.2,0,-3501,stable,0.0,estimation
169,Gomez,6,3,50,0.1,0,-669,stable,0.0,estimation
170,Milner,6,3,50,0.1,0,-900,stable,0.0,estimation
171,Sarmiento,6,3,50,0.0,0,-513,stable,0.0,estimation
172,Watson,6,3,50,0.0,0,-233,stable,0.0,estimation
173,Wieffer,6,3,50,0.1,0,373,stable,0.0,estimation
174,Yalcouye,6,3,50,0.0,0,-619,stable,0.0,estimation
175,Knight,6,3,45,0.1,0,-447,stable,0.0,estimation
176,Mazilu,6,3,45,0.0,0,-280,stable,0.0,estimation
177,Moran,6,3,45,0.1,0,-300,stable,0.0,estimation
178,Welbeck,6,4,65,3.7,0,-77667,-0.1,1.0,estimation
179,Ferguson,6,4,55,0.0,0,-770,stable,0.0,estimation
180,Tzimas,6,4,55,0.1,0,-1714,stable,0.0,estimation
181,Kostoulas,6,4,50,0.4,0,-4080,stable,0.0,estimation
220,Sánchez,7,1,50,25.4,0,58579,stable,0.0,estimation
221,Jörgensen,7,1,45,0.2,0,-1858,stable,0.0,estimation
222,Penders,7,1,40,0.0,0,-112,stable,0.0,estimation
223,Slonina,7,1,40,0.1,0,-254,stable,0.0,estimation
224,Cucurella,7,2,60,21.8,0,212056,stable,0.0,estimation
225,James,7,2,55,5.9,0,30938,stable,0.0,estimation
226,Chalobah,7,2,50,1.4,0,19814,stable,0.0,estimation
227,Colwill,7,2,49,0.3,0,-14507,stable,0.0,estimation
228,Gusto,7,2,50,1.6,0,-18024,-0.1,1.0,estimation
229,B.Badiashile,7,2,45,0.0,0,-608,stable,0.0,estimation
230,Fofana,7,2,45,0.2,0,-3292,stable,0.0,estimation
231,M.Sarr,7,2,45,0.0,0,-919,stable,0.0,estimation
232,Tosin,7,2,45,1.1,0,-15925,-0.1,1.0,estimation
233,Acheampong,7,2,40,2.4,0,159625,stable,0.0,estimation
234,Anselmino,7,2,40,0.1,0,-1007,stable,0.0,estimation
235,Palmer,7,3,105,59.0,0,-225277,stable,0.0,estimation
236,Neto,7,3,70,3.6,0,-26132,-0.1,1.0,estimation
237,Enzo,7,3,65,3.4,0,-35252,-0.1,1.0,estimation
238,Estêvão,7,3,65,1.5,0,-22925,-0.1,1.0,estimation
239,Gittens,7,3,65,0.3,0,-4227,stable,0.0,estimation
240,Nkunku,7,3,60,0.2,0,-3905,stable,0.0,estimation
241,Caicedo,7,3,55,5.5,0,-15289,stable,0.0,estimation
243,George,7,3,50,0.1,0,-527,stable,0.0,estimation
244,Lavia,7,3,50,0.0,0,-881,stable,0.0,estimation
245,Mudryk,7,3,50,0.0,0,-93,stable,0.0,estimation
246,Andrey Santos,7,3,45,0.3,0,1234,stable,0.0,estimation
247,D.Essugo,7,3,45,0.1,0,-311,stable,0.0,estimation
248,Paez,7,3,45,0.0,0,-408,stable,0.0,estimation
249,João Pedro,7,4,75,51.8,0,-242799,stable,0.0,estimation
250,Delap,7,4,65,3.6,0,-50431,-0.1,1.0,estimation
251,N.Jackson,7,4,65,0.2,0,1271,stable,0.0,estimation
672,Hato,7,2,50,0.3,0,-4349,stable,0.0,estimation
253,Henderson,8,1,50,7.3,0,7391,stable,0.0,estimation
254,Benitez,8,1,40,0.4,0,-323,stable,0.0,estimation
255,Matthews,8,1,40,0.1,0,-205,stable,0.0,estimation
256,Muñoz,8,2,55,8.7,0,22881,stable,0.0,estimation
257,Lacroix,8,2,50,1.4,0,18005,stable,0.0,estimation
258,Mitchell,8,2,50,1.7,0,32256,stable,0.0,estimation
259,Sosa,8,2,50,0.1,0,-1035,stable,0.0,estimation
260,Guéhi,8,2,45,13.3,0,77542,stable,0.0,estimation
261,Richards,8,2,45,1.6,0,13739,stable,0.0,estimation
262,Chadi Riad,8,2,40,0.0,0,-45,stable,0.0,estimation
263,Clyne,8,2,40,0.6,0,-3404,stable,0.0,estimation
264,Holding,8,2,40,0.0,0,-1357,stable,0.0,estimation
265,Kporha,8,2,40,0.0,0,-524,stable,0.0,estimation
266,Eze,8,3,75,10.4,0,-50422,stable,0.0,estimation
267,Sarr,8,3,65,4.6,0,-34538,-0.1,1.0,estimation
268,Doucouré,8,3,50,0.0,0,-68,stable,0.0,estimation
269,Esse,8,3,50,0.2,0,-2401,stable,0.0,estimation
270,Hughes,8,3,50,0.1,0,-511,stable,0.0,estimation
271,Kamada,8,3,50,0.0,0,-524,stable,0.0,estimation
272,Lerma,8,3,50,0.1,0,-606,stable,0.0,estimation
273,Wharton,8,3,50,0.6,0,527,stable,0.0,estimation
274,Agbinone,8,3,45,0.1,0,-323,stable,0.0,estimation
275,Ahamada,8,3,45,0.0,0,-226,stable,0.0,estimation
276,Devenny,8,3,45,1.7,0,-10335,stable,0.0,estimation
277,Ebiowei,8,3,45,0.0,0,-284,stable,0.0,estimation
278,J.Rak-Sakyi,8,3,45,0.1,0,-396,stable,0.0,estimation
279,M.França,8,3,45,0.0,0,-391,stable,0.0,estimation
280,Ozoh,8,3,45,0.0,0,-69,stable,0.0,estimation
281,Rodney,8,3,45,0.0,0,-224,stable,0.0,estimation
282,Umeh,8,3,45,0.0,0,-186,stable,0.0,estimation
283,Mateta,8,4,75,8.8,0,-29112,stable,0.0,estimation
284,Nketiah,8,4,55,0.3,0,-12984,stable,0.0,estimation
285,Édouard,8,4,50,0.9,0,-7487,stable,0.0,estimation
286,Marsh,8,4,45,0.3,0,-1362,stable,0.0,estimation
690,Cardines,8,3,45,0.2,0,6683,stable,0.0,estimation
242,Dewsbury-Hall,9,3,50,4.4,0,-22071,-0.1,1.0,estimation
287,Pickford,9,1,55,10.6,0,-57041,stable,0.0,estimation
288,Travers,9,1,45,0.2,0,-887,stable,0.0,estimation
289,Tyrer,9,1,40,0.1,0,-286,stable,0.0,estimation
290,Branthwaite,9,2,54,0.5,0,-29583,-0.1,1.0,estimation
291,Tarkowski,9,2,55,6.8,0,-15957,stable,0.0,estimation
292,Mykolenko,9,2,50,0.7,0,-14251,stable,0.0,estimation
293,O'Brien,9,2,50,0.6,0,-2122,stable,0.0,estimation
294,Coleman,9,2,45,0.2,0,-1131,stable,0.0,estimation
295,Keane,9,2,45,0.4,0,-381,stable,0.0,estimation
296,Patterson,9,2,45,0.0,0,-522,stable,0.0,estimation
297,Dixon,9,2,40,0.2,0,-1088,stable,0.0,estimation
298,Welch,9,2,40,0.2,0,-1000,stable,0.0,estimation
299,Ndiaye,9,3,65,9.8,0,-149151,stable,0.0,estimation
300,McNeil,9,3,59,0.3,0,-8838,stable,0.0,estimation
301,Alcaraz,9,3,55,0.2,0,-1701,stable,0.0,estimation
302,Gana,9,3,55,0.1,0,-1228,stable,0.0,estimation
303,Garner,9,3,50,0.1,0,-825,stable,0.0,estimation
304,Iroegbunam,9,3,50,0.0,0,-274,stable,0.0,estimation
305,Armstrong,9,3,45,0.1,0,-1630,stable,0.0,estimation
306,Bates,9,3,45,0.1,0,-408,stable,0.0,estimation
307,Ebere,9,3,45,0.0,0,-214,stable,0.0,estimation
308,Heath,9,3,45,0.0,0,-270,stable,0.0,estimation
309,Metcalfe,9,3,45,0.0,0,-45,stable,0.0,estimation
310,Barry,9,4,60,0.7,0,-9116,stable,0.0,estimation
311,Beto,9,4,55,7.8,0,-61970,stable,0.0,estimation
312,Y.Chermiti,9,4,50,0.2,0,-1429,stable,0.0,estimation
313,Sherif,9,4,45,0.2,0,-1182,stable,0.0,estimation
419,Grealish,9,3,65,3.2,0,-36447,-0.1,1.0,estimation
630,King,9,1,40,1.5,0,-3896,stable,0.0,estimation
667,Aznou,9,2,45,0.1,0,-1328,stable,0.0,estimation
314,Leno,10,1,50,1.6,0,-9758,stable,0.0,estimation
315,Benda,10,1,40,0.0,0,-97,stable,0.0,estimation
316,Robinson,10,2,50,0.6,0,-29614,-0.1,1.0,estimation
317,Andersen,10,2,45,2.9,0,-4604,stable,0.0,estimation
318,Bassey,10,2,45,0.5,0,-2367,stable,0.0,estimation
319,Castagne,10,2,45,0.1,0,-1179,stable,0.0,estimation
320,Diop,10,2,45,0.1,0,-763,stable,0.0,estimation
321,J.Cuenca,10,2,45,0.0,0,-257,stable,0.0,estimation
322,Tete,10,2,45,0.2,0,-512,stable,0.0,estimation
323,Amissah,10,2,40,0.2,0,-1224,stable,0.0,estimation
324,Iwobi,10,3,65,1.3,0,-22318,-0.1,1.0,estimation
325,Smith Rowe,10,3,59,0.8,0,-18647,-0.1,1.0,estimation
326,Adama,10,3,55,0.3,0,-4592,stable,0.0,estimation
327,Andreas,10,3,54,0.3,0,-6985,stable,0.0,estimation
328,Sessegnon,10,3,55,0.0,0,-767,stable,0.0,estimation
329,Wilson,10,3,55,0.9,0,-8715,stable,0.0,estimation
330,Berge,10,3,50,0.1,0,-525,stable,0.0,estimation
331,Cairney,10,3,50,0.0,0,-468,stable,0.0,estimation
332,Lukić,10,3,50,0.1,0,-507,stable,0.0,estimation
333,Godo,10,3,45,0.1,0,-497,stable,0.0,estimation
334,Harris,10,3,45,0.0,0,-114,stable,0.0,estimation
335,King,10,3,45,1.2,0,21642,stable,0.0,estimation
336,Reed,10,3,45,0.3,0,-2100,stable,0.0,estimation
337,Raúl,10,4,65,1.9,0,-27234,-0.1,1.0,estimation
338,Muniz,10,4,55,2.5,0,31591,stable,0.0,estimation
664,Lecomte,10,1,40,0.8,0,-1727,stable,0.0,estimation
339,Meslier,11,1,45,0.7,0,-7585,stable,0.0,estimation
340,Cairns,11,1,40,0.2,0,-422,stable,0.0,estimation
341,Darlow,11,1,40,3.0,0,-9342,stable,0.0,estimation
342,Bogle,11,2,45,0.2,0,-798,stable,0.0,estimation
343,Struijk,11,2,45,0.4,0,1032,stable,0.0,estimation
344,Bijol,11,2,40,0.2,0,642,stable,0.0,estimation
345,Bornauw,11,2,40,0.1,0,-790,stable,0.0,estimation
346,Byram,11,2,40,0.2,0,-1736,stable,0.0,estimation
347,Gudmundsson,11,2,40,3.5,0,54037,stable,0.0,estimation
348,Rodon,11,2,40,2.3,0,5721,stable,0.0,estimation
349,Schmidt,11,2,40,0.2,0,-1407,stable,0.0,estimation
350,Aaronson,11,3,55,0.1,0,-909,stable,0.0,estimation
351,Gnonto,11,3,55,0.3,0,-3557,stable,0.0,estimation
352,Harrison,11,3,55,0.1,0,-2461,stable,0.0,estimation
353,James,11,3,55,0.4,0,-5172,stable,0.0,estimation
354,Ampadu,11,3,50,0.1,0,-986,stable,0.0,estimation
355,Greenwood,11,3,50,0.1,0,-1446,stable,0.0,estimation
356,Gruev,11,3,50,0.0,0,-523,stable,0.0,estimation
357,Ramazani,11,3,50,0.0,0,-745,stable,0.0,estimation
358,Tanaka,11,3,50,0.3,0,-295,stable,0.0,estimation
359,Crew,11,3,45,0.0,0,-348,stable,0.0,estimation
360,Gelhardt,11,3,45,0.0,0,-999,stable,0.0,estimation
361,Gyabi,11,3,45,0.1,0,-537,stable,0.0,estimation
362,Piroe,11,4,55,1.8,0,-16322,-0.1,1.0,estimation
363,Bamford,11,4,50,1.8,0,-25944,-0.1,1.0,estimation
364,Mateo Joseph,11,4,50,0.0,0,-1097,stable,0.0,estimation
365,Nmecha,11,4,50,0.6,0,15035,stable,0.0,estimation
493,Longstaff,11,3,50,0.2,0,-2099,stable,0.0,estimation
660,Stach,11,3,50,0.4,0,10179,stable,0.0,estimation
665,Perri,11,1,45,0.4,0,2093,stable,0.0,estimation
691,Calvert-Lewin,11,4,55,0.1,0,2631,stable,0.0,estimation
698,Okafor,11,3,55,0.0,0,292,stable,0.0,estimation
366,A.Becker,12,1,55,10.8,0,-85771,stable,0.0,estimation
367,Mamardashvili,12,1,45,0.4,0,-7559,stable,0.0,estimation
368,Pécsi,12,1,40,0.1,0,-424,stable,0.0,estimation
369,Woodman,12,1,40,0.1,0,-492,stable,0.0,estimation
370,Frimpong,12,2,60,22.0,0,-872205,-0.1,1.0,estimation
371,Kerkez,12,2,60,6.1,0,-76402,stable,0.0,estimation
372,Robertson,12,2,60,1.3,0,-18436,-0.1,1.0,estimation
373,Virgil,12,2,60,24.0,0,-14121,stable,0.0,estimation
374,Konaté,12,2,55,2.9,0,-20302,-0.1,1.0,estimation
375,Bradley,12,2,50,0.1,0,-3132,stable,0.0,estimation
376,Gomez,12,2,50,0.1,0,158,stable,0.0,estimation
377,Tsimikas,12,2,50,0.1,0,-1998,stable,0.0,estimation
378,Nallo,12,2,40,0.1,0,-1144,stable,0.0,estimation
379,R.Williams,12,2,40,0.2,0,-1671,stable,0.0,estimation
380,Ramsay,12,2,40,0.2,0,-1645,stable,0.0,estimation
381,M.Salah,12,3,145,53.5,0,7697,stable,0.0,estimation
382,Wirtz,12,3,85,28.0,0,-471028,-0.1,1.0,estimation
383,Luis Díaz,12,3,80,0.1,0,-4294,stable,0.0,estimation
384,Gakpo,12,3,75,8.4,0,75556,stable,0.0,estimation
385,Chiesa,12,3,65,0.3,0,5877,stable,0.0,estimation
386,Mac Allister,12,3,65,2.0,0,764,stable,0.0,estimation
387,Szoboszlai,12,3,65,1.9,0,-24585,-0.1,1.0,estimation
388,C.Jones,12,3,55,0.1,0,-2052,stable,0.0,estimation
